agg_level_pseo,inst_level,institution,degree_level,cip_level,cipcode,grad_cohort,grad_cohort_years,geo_level,geography,ind_level,industry,y1_p25_earnings,y1_p50_earnings,y1_p75_earnings,y1_grads_earn,y5_p25_earnings,y5_p50_earnings,y5_p75_earnings,y5_grads_earn,y10_p25_earnings,y10_p50_earnings,y10_p75_earnings,y10_grads_earn,y1_ipeds_count,y5_ipeds_count,y10_ipeds_count,status_y1_earnings,status_y1_grads_earn,status_y5_earnings,status_y5_grads_earn,status_y10_earnings,status_y10_grads_earn,status_y1_ipeds_count,status_y5_ipeds_count,status_y10_ipeds_count
40,I,University of Alabama,05,2,11,0,3,N,0,A,0,52692.0,69943.0,86639.0,685.0,65719.0,84125.0,108354.0,374.0,83065.0,111102.0,148634.0,269.0,960.0,444.0,332.0,1.0,1,1.0,1,1.0,1,1,1,1
40,I,University of Alabama,07,2,11,0,5,N,0,A,0,55961.0,75407.0,92187.0,167.0,83352.0,104496.0,122924.0,176.0,103967.0,132513.0,183551.0,117.0,265.0,224.0,149.0,1.0,1,1.0,1,1.0,1,1,1,1
40,I,University of Alabama,17,2,11,0,5,N,0,A,0,77634.0,99687.0,121083.0,65.0,83951.0,108210.0,155988.0,53.0,,,,,80.0,54.0,27.0,1.0,1,1.0,1,5.0,5,1,1,1
40,I,University of Alabama,05,2,13,0,3,N,0,A,0,28230.0,40597.0,48943.0,4725.0,45271.0,54263.0,62550.0,3449.0,50580.0,59993.0,70802.0,2263.0,6737.0,4309.0,3082.0,1.0,1,1.0,1,1.0,1,1,1,1
40,I,University of Alabama,07,2,13,0,5,N,0,A,0,47836.0,56781.0,65932.0,2902.0,55148.0,64641.0,74385.0,2351.0,58957.0,67483.0,78689.0,1611.0,3985.0,3217.0,2299.0,1.0,1,1.0,1,1.0,1,1,1,1
40,I,University of Alabama,17,2,13,0,5,N,0,A,0,73825.0,90746.0,111035.0,967.0,77581.0,97183.0,119021.0,682.0,81878.0,102739.0,128931.0,338.0,1061.0,755.0,418.0,1.0,1,1.0,1,1.0,1,1,1,1
40,I,University of Alabama at Birmingham,05,2,11,0,3,N,0,A,0,45553.0,61674.0,75248.0,338.0,70454.0,85851.0,106321.0,130.0,102642.0,131370.0,153010.0,39.0,429.0,145.0,63.0,1.0,1,1.0,1,1.0,1,1,1,1
40,I,University of Alabama at Birmingham,07,2,11,0,5,N,0,A,0,52992.0,71483.0,96833.0,168.0,90033.0,111575.0,153544.0,75.0,,,,,353.0,186.0,95.0,1.0,1,1.0,1,5.0,5,1,1,1
40,I,University of Alabama at Birmingham,17,2,11,0,5,N,0,A,0,,,,,,,,,,,,,53.0,33.0,18.0,5.0,5,5.0,5,5.0,5,1,1,1
40,I,University of Alabama at Birmingham,05,2,13,0,3,N,0,A,0,23950.0,32348.0,42607.0,1648.0,39936.0,49770.0,56642.0,1037.0,50591.0,58930.0,67264.0,441.0,2636.0,1432.0,687.0,1.0,1,1.0,1,1.0,1,1,1,1
40,I,University of Alabama at Birmingham,07,2,13,0,5,N,0,A,0,45169.0,55570.0,64127.0,2392.0,55354.0,62830.0,71039.0,1366.0,60440.0,65539.0,72041.0,142.0,4111.0,2947.0,1482.0,1.0,1,1.0,1,1.0,1,1,1,1
40,I,University of Alabama at Birmingham,17,2,13,0,5,N,0,A,0,69817.0,80215.0,98668.0,65.0,78525.0,93294.0,104554.0,35.0,,,,,123.0,101.0,51.0,1.0,1,1.0,1,5.0,5,1,1,1
40,I,University of Alabama in Huntsville,05,2,11,0,3,N,0,A,0,56665.0,69610.0,80771.0,693.0,74239.0,88733.0,106321.0,243.0,84061.0,112047.0,146358.0,159.0,908.0,386.0,292.0,1.0,1,1.0,1,1.0,1,1,1,1
40,I,University of Alabama in Huntsville,07,2,11,0,5,N,0,A,0,65533.0,84459.0,108279.0,504.0,92708.0,114408.0,140100.0,269.0,117651.0,139380.0,170410.0,121.0,684.0,345.0,179.0,1.0,1,1.0,1,1.0,1,1,1,1
40,I,University of Alabama in Huntsville,17,2,11,0,5,N,0,A,0,91802.0,102831.0,120368.0,31.0,109007.0,129656.0,158737.0,31.0,,,,,52.0,33.0,18.0,1.0,1,1.0,1,5.0,5,1,1,1
40,I,University of Alabama in Huntsville,05,2,13,0,3,N,0,A,0,26385.0,37296.0,46334.0,294.0,45446.0,52292.0,59607.0,161.0,46401.0,56710.0,62988.0,94.0,448.0,272.0,209.0,1.0,1,1.0,1,1.0,1,1,1,1
40,I,University of Alabama in Huntsville,07,2,13,0,5,N,0,A,0,50154.0,56563.0,62182.0,146.0,,,,,,,,,148.0,0.0,,1.0,1,5.0,5,,-1,1,1,3
40,I,Arizona State University,05,2,11,0,3,N,0,A,0,50738.0,68274.0,85303.0,5359.0,75358.0,96441.0,119876.0,2196.0,94218.0,126092.0,171415.0,1299.0,5627.0,2205.0,1311.0,1.0,1,1.0,1,1.0,1,4,4,4
40,I,Arizona State University,07,2,11,0,5,N,0,A,0,93196.0,120182.0,147952.0,2187.0,126022.0,163602.0,221234.0,842.0,143742.0,192326.0,282634.0,367.0,2686.0,1182.0,408.0,1.0,1,1.0,1,1.0,1,4,4,4
40,I,Arizona State University,17,2,11,0,5,N,0,A,0,123083.0,155416.0,217289.0,206.0,137280.0,198776.0,290649.0,117.0,164692.0,231132.0,312958.0,73.0,328.0,197.0,96.0,1.0,1,1.0,1,1.0,1,4,4,4
40,I,Arizona State University,05,2,13,0,3,N,0,A,0,34537.0,44812.0,52945.0,11388.0,43741.0,52798.0,60740.0,7627.0,49098.0,58435.0,69794.0,5319.0,12056.0,9124.0,7731.0,1.0,1,1.0,1,1.0,1,4,4,4
40,I,Arizona State University,07,2,13,0,5,N,0,A,0,41800.0,53663.0,65589.0,11955.0,50904.0,62616.0,78760.0,5574.0,59240.0,70607.0,89168.0,2954.0,7542.0,6326.0,3557.0,1.0,1,1.0,1,1.0,1,4,4,4
40,I,Arizona State University,17,2,13,0,5,N,0,A,0,67052.0,85978.0,105806.0,690.0,79521.0,100049.0,129022.0,453.0,89827.0,112798.0,146883.0,256.0,893.0,767.0,409.0,1.0,1,1.0,1,1.0,1,4,4,4
40,I,Northern Arizona University,05,2,11,0,3,N,0,A,0,49194.0,69622.0,85805.0,545.0,73744.0,96018.0,121830.0,200.0,86606.0,117455.0,158075.0,115.0,627.0,219.0,126.0,1.0,1,1.0,1,1.0,1,4,4,4
40,I,Northern Arizona University,07,2,11,0,5,N,0,A,0,,,,,,,,,,,,,20.0,1.0,,5.0,5,5.0,5,,-1,1,1,3
40,I,Northern Arizona University,17,2,11,0,5,N,0,A,0,,,,,,,,,,,,,1.0,,,5.0,5,,-1,,-1,1,3,3
40,I,Northern Arizona University,01,2,13,0,5,N,0,A,0,,,,,,,,,,,,,6.0,1.0,,5.0,5,5.0,5,,-1,1,1,3
40,I,Northern Arizona University,05,2,13,0,3,N,0,A,0,31988.0,42803.0,52084.0,8603.0,41544.0,50946.0,59360.0,5730.0,47534.0,57662.0,69499.0,4013.0,10712.0,7424.0,5604.0,1.0,1,1.0,1,1.0,1,4,4,4
40,I,Northern Arizona University,07,2,13,0,5,N,0,A,0,46128.0,57815.0,71138.0,12134.0,50872.0,62838.0,77496.0,9103.0,57331.0,68891.0,85436.0,5255.0,14565.0,11425.0,6957.0,1.0,1,1.0,1,1.0,1,4,4,4
40,I,Northern Arizona University,17,2,13,0,5,N,0,A,0,72411.0,96472.0,124914.0,367.0,85889.0,110867.0,144603.0,202.0,75407.0,105556.0,152000.0,76.0,394.0,243.0,103.0,1.0,1,1.0,1,1.0,1,4,4,4
40,I,University of Arizona (The),05,2,11,0,3,N,0,A,0,48432.0,69755.0,91452.0,2058.0,80496.0,104770.0,144310.0,799.0,102358.0,134038.0,195281.0,483.0,2550.0,607.0,242.0,1.0,1,1.0,1,1.0,1,4,4,4
40,I,University of Arizona (The),07,2,11,0,5,N,0,A,0,69001.0,91363.0,118098.0,1171.0,107463.0,135999.0,181909.0,669.0,141903.0,186098.0,259927.0,245.0,1415.0,727.0,204.0,1.0,1,1.0,1,1.0,1,4,4,4
40,I,University of Arizona (The),17,2,11,0,5,N,0,A,0,76298.0,122277.0,174221.0,70.0,127370.0,174077.0,239337.0,44.0,,,,,76.0,53.0,24.0,1.0,1,1.0,1,5.0,5,4,4,4
40,I,University of Arizona (The),05,2,13,0,3,N,0,A,0,29800.0,40426.0,50049.0,4817.0,39157.0,49837.0,59896.0,3662.0,44717.0,56863.0,71290.0,2849.0,6527.0,4829.0,3945.0,1.0,1,1.0,1,1.0,1,4,4,4
40,I,University of Arizona (The),07,2,13,0,5,N,0,A,0,41196.0,50731.0,59895.0,2320.0,46857.0,57908.0,70652.0,1512.0,54009.0,66836.0,84245.0,677.0,2923.0,2075.0,952.0,1.0,1,1.0,1,1.0,1,4,4,4
40,I,University of Arizona (The),17,2,13,0,5,N,0,A,0,56469.0,72239.0,91043.0,471.0,67119.0,84061.0,102200.0,310.0,69848.0,90181.0,117951.0,172.0,671.0,457.0,284.0,1.0,1,1.0,1,1.0,1,4,4,4
40,I,Adams State University,05,2,13,0,3,N,0,A,0,31772.0,38767.0,42920.0,39.0,,,,,,,,,38.0,,,1.0,1,,-1,,-1,1,3,3
40,I,Adams State University,07,2,13,0,5,N,0,A,0,44901.0,54940.0,66243.0,2302.0,48584.0,60149.0,72862.0,1660.0,52059.0,63462.0,79040.0,1232.0,2796.0,1989.0,1537.0,1.0,1,1.0,1,1.0,1,1,1,1
40,I,Arapahoe Community College,01,2,11,0,5,N,0,A,0,29152.0,44662.0,65466.0,191.0,47322.0,64996.0,84200.0,268.0,,,,,409.0,312.0,38.0,1.0,1,1.0,1,5.0,5,1,1,1
40,I,Arapahoe Community College,03,2,11,0,5,N,0,A,0,36007.0,52026.0,70223.0,261.0,47487.0,67304.0,100323.0,159.0,57966.0,84662.0,114905.0,82.0,351.0,198.0,101.0,1.0,1,1.0,1,1.0,1,4,4,4
40,I,Colorado School of Mines,05,2,11,0,3,N,0,A,0,62863.0,80707.0,97663.0,552.0,97343.0,116817.0,150920.0,88.0,,,,,662.0,92.0,,1.0,1,1.0,1,5.0,5,4,4,3
40,I,Colorado School of Mines,07,2,11,0,5,N,0,A,0,85670.0,102164.0,128227.0,121.0,122036.0,198397.0,237925.0,32.0,,,,,168.0,37.0,,1.0,1,1.0,1,,-1,1,1,3
40,I,Colorado School of Mines,17,2,11,0,5,N,0,A,0,,,,,,,,,,,,,12.0,3.0,,5.0,5,5.0,5,,-1,1,1,3
