agg_level_pseo,inst_level,institution,degree_level,cip_level,cipcode,grad_cohort,grad_cohort_years,geo_level,geography,ind_level,industry,y1_p25_earnings,y1_p50_earnings,y1_p75_earnings,y1_grads_earn,y5_p25_earnings,y5_p50_earnings,y5_p75_earnings,y5_grads_earn,y10_p25_earnings,y10_p50_earnings,y10_p75_earnings,y10_grads_earn,y1_ipeds_count,y5_ipeds_count,y10_ipeds_count,status_y1_earnings,status_y1_grads_earn,status_y5_earnings,status_y5_grads_earn,status_y10_earnings,status_y10_grads_earn,status_y1_ipeds_count,status_y5_ipeds_count,status_y10_ipeds_count
36,S,01,05,4,11.01,2001,3,N,0,A,0,36085.0,51084.0,70223.0,57.0,54557.0,79856.0,105101.0,84.0,72734.0,108210.0,138578.0,90.0,111.0,111.0,111.0,1.0,1,1.0,1,1.0,1,1,1,1
36,S,01,07,4,11.01,2001,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,17,4,11.01,2001,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,07,4,13.04,2001,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,17,4,13.04,2001,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,17,4,13.06,2001,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,05,4,13.10,2001,3,N,0,A,0,33708.0,44209.0,50377.0,51.0,51752.0,58722.0,65013.0,55.0,51205.0,57810.0,68421.0,47.0,71.0,71.0,71.0,1.0,1,1.0,1,1.0,1,1,1,1
36,S,01,07,4,13.10,2001,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,17,4,13.10,2001,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,07,4,13.11,2001,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,17,4,13.11,2001,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,05,4,13.12,2001,3,N,0,A,0,27525.0,37598.0,48675.0,324.0,45979.0,55525.0,63668.0,333.0,49327.0,58921.0,69505.0,300.0,543.0,543.0,543.0,1.0,1,1.0,1,1.0,1,1,1,1
36,S,01,07,4,13.12,2001,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,17,4,13.12,2001,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,05,4,13.13,2001,3,N,0,A,0,27657.0,39150.0,48590.0,82.0,45428.0,56211.0,68925.0,106.0,43383.0,58200.0,75569.0,101.0,171.0,171.0,171.0,1.0,1,1.0,1,1.0,1,1,1,1
36,S,01,07,4,13.13,2001,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,07,4,13.14,2001,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,05,4,11.01,2004,3,N,0,A,0,40684.0,64760.0,80464.0,82.0,68195.0,88956.0,113629.0,82.0,82955.0,111398.0,147588.0,80.0,200.0,200.0,200.0,1.0,1,1.0,1,1.0,1,1,1,1
36,S,01,05,4,13.10,2004,3,N,0,A,0,42388.0,49354.0,53598.0,54.0,47236.0,54457.0,64760.0,46.0,51752.0,60653.0,69296.0,39.0,51.0,51.0,51.0,1.0,1,1.0,1,1.0,1,1,1,1
36,S,01,05,4,13.12,2004,3,N,0,A,0,34328.0,43645.0,51514.0,390.0,47218.0,56899.0,65259.0,368.0,51418.0,59287.0,69335.0,338.0,502.0,502.0,502.0,1.0,1,1.0,1,1.0,1,1,1,1
36,S,01,05,4,13.13,2004,3,N,0,A,0,27231.0,39953.0,50476.0,79.0,38554.0,52420.0,65683.0,87.0,54037.0,65359.0,77052.0,86.0,126.0,126.0,126.0,1.0,1,1.0,1,1.0,1,1,1,1
36,S,01,07,4,11.01,2006,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,17,4,11.01,2006,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,07,4,13.04,2006,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,17,4,13.04,2006,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,17,4,13.06,2006,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,07,4,13.10,2006,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,17,4,13.10,2006,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,07,4,13.11,2006,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,17,4,13.11,2006,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,07,4,13.12,2006,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,17,4,13.12,2006,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,07,4,13.13,2006,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,17,4,13.13,2006,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,07,4,13.14,2006,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,5.0,5,3,3,3
36,S,01,05,4,11.01,2007,3,N,0,A,0,50878.0,68818.0,77731.0,104.0,64814.0,80741.0,95062.0,124.0,79768.0,103967.0,139952.0,128.0,151.0,151.0,151.0,1.0,1,1.0,1,1.0,1,1,1,1
36,S,01,05,4,13.10,2007,3,N,0,A,0,39406.0,47119.0,51515.0,84.0,44129.0,52055.0,59136.0,83.0,47765.0,57426.0,66260.0,71.0,99.0,99.0,99.0,1.0,1,1.0,1,1.0,1,1,1,1
36,S,01,05,4,13.12,2007,3,N,0,A,0,30219.0,41768.0,51151.0,382.0,43794.0,53814.0,59979.0,400.0,49079.0,60206.0,68796.0,357.0,479.0,479.0,479.0,1.0,1,1.0,1,1.0,1,1,1,1
36,S,01,05,4,13.13,2007,3,N,0,A,0,24225.0,33506.0,48946.0,104.0,40219.0,51752.0,63196.0,146.0,49524.0,63275.0,79966.0,162.0,164.0,164.0,164.0,1.0,1,1.0,1,1.0,1,1,1,1
36,S,01,05,4,11.01,2010,3,N,0,A,0,48678.0,62364.0,75302.0,143.0,68988.0,85990.0,107944.0,175.0,98314.0,119838.0,159676.0,169.0,225.0,225.0,225.0,1.0,1,1.0,1,1.0,1,1,1,1
36,S,01,05,4,13.10,2010,3,N,0,A,0,34517.0,43486.0,50460.0,126.0,45893.0,54223.0,60343.0,123.0,52508.0,58902.0,65234.0,102.0,142.0,142.0,142.0,1.0,1,1.0,1,1.0,1,1,1,1
36,S,01,05,4,13.12,2010,3,N,0,A,0,25839.0,36018.0,45949.0,702.0,43677.0,51371.0,58006.0,872.0,51499.0,58339.0,65097.0,815.0,1167.0,1167.0,1167.0,1.0,1,1.0,1,1.0,1,1,1,1
36,S,01,05,4,13.13,2010,3,N,0,A,0,22725.0,30848.0,42239.0,242.0,35305.0,51084.0,65806.0,392.0,48983.0,64571.0,86592.0,380.0,463.0,463.0,463.0,1.0,1,1.0,1,1.0,1,1,1,1
36,S,01,07,4,11.01,2011,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,,-1,3,3,3
36,S,01,17,4,11.01,2011,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,,-1,3,3,3
36,S,01,07,4,11.08,2011,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,,-1,3,3,3
36,S,01,17,4,11.08,2011,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,,-1,3,3,3
36,S,01,07,4,11.10,2011,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,,-1,3,3,3
36,S,01,07,4,13.04,2011,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,,-1,3,3,3
36,S,01,17,4,13.04,2011,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,,-1,3,3,3
36,S,01,17,4,13.06,2011,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,,-1,3,3,3
36,S,01,07,4,13.10,2011,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,,-1,3,3,3
36,S,01,17,4,13.10,2011,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,,-1,3,3,3
36,S,01,07,4,13.11,2011,5,N,0,A,0,,,,,,,,,,,,,,,,5.0,5,5.0,5,,-1,3,3,3
