agg_level_pseo,inst_level,institution,degree_level,cip_level,cipcode,grad_cohort,grad_cohort_years,geo_level,geography,ind_level,industry,y1_grads_emp,y1_grads_emp_instate,y5_grads_emp,y5_grads_emp_instate,y10_grads_emp,y10_grads_emp_instate,y1_grads_nme,y5_grads_nme,y10_grads_nme,status_y1_grads_emp,status_y1_grads_emp_instate,status_y5_grads_emp,status_y5_grads_emp_instate,status_y10_grads_emp,status_y10_grads_emp_instate,status_y1_grads_nme,status_y5_grads_nme,status_y10_grads_nme,industry_name,state_name
28,S,01,05,2,11,0000,3,N,00,A,00,1737.0,1186.0,768.0,464.0,391.0,269.0,492.0,122.0,99.0,1,1,1,1,1,1,1,1,1,All NAICS Sectors,National (50 States + DC)
28,S,01,07,2,11,0000,5,N,00,A,00,942.0,464.0,612.0,192.0,316.0,68.0,299.0,102.0,47.0,1,1,1,1,1,1,1,1,1,All NAICS Sectors,National (50 States + DC)
28,S,01,17,2,11,0000,5,N,00,A,00,213.0,40.0,118.0,24.0,91.0,17.0,19.0,9.0,10.0,1,1,1,1,1,1,1,1,1,All NAICS Sectors,National (50 States + DC)
28,S,01,05,2,13,0000,3,N,00,A,00,6433.0,4956.0,4659.0,3426.0,2783.0,2098.0,2971.0,1086.0,886.0,1,1,1,1,1,1,1,1,1,All NAICS Sectors,National (50 States + DC)
28,S,01,07,2,13,0000,5,N,00,A,00,5441.0,4740.0,3666.0,3066.0,1721.0,1408.0,1006.0,744.0,424.0,1,1,1,1,1,1,1,1,1,All NAICS Sectors,National (50 States + DC)
28,S,01,17,2,13,0000,5,N,00,A,00,1074.0,726.0,668.0,490.0,386.0,235.0,103.0,93.0,107.0,1,1,1,1,1,1,1,1,1,All NAICS Sectors,National (50 States + DC)
28,S,01,18,2,13,0000,5,N,00,A,00,63.0,27.0,0.0,,0.0,,0.0,,,1,1,5,5,5,5,1,5,5,All NAICS Sectors,National (50 States + DC)
28,S,04,05,2,11,0000,3,N,00,A,00,7891.0,5438.0,3246.0,2095.0,1953.0,1136.0,2136.0,610.0,461.0,1,1,1,1,1,1,1,1,1,All NAICS Sectors,National (50 States + DC)
28,S,04,07,2,11,0000,5,N,00,A,00,3368.0,1123.0,1547.0,364.0,676.0,157.0,566.0,236.0,150.0,1,1,1,1,1,1,1,1,1,All NAICS Sectors,National (50 States + DC)
28,S,04,17,2,11,0000,5,N,00,A,00,311.0,58.0,163.0,31.0,196.0,16.0,59.0,28.0,26.0,1,1,1,1,1,1,1,1,1,All NAICS Sectors,National (50 States + DC)
28,S,04,02,2,13,0000,5,N,00,A,00,487.0,440.0,343.0,257.0,91.0,47.0,116.0,79.0,15.0,1,1,1,1,1,1,1,1,1,All NAICS Sectors,National (50 States + DC)
28,S,04,05,2,13,0000,3,N,00,A,00,24823.0,21652.0,16853.0,13662.0,12091.0,9304.0,5727.0,4427.0,4570.0,1,1,1,1,1,1,1,1,1,All NAICS Sectors,National (50 States + DC)
28,S,04,07,2,13,0000,5,N,00,A,00,26291.0,18879.0,16108.0,12047.0,8876.0,6653.0,5060.0,3948.0,2940.0,1,1,1,1,1,1,1,1,1,All NAICS Sectors,National (50 States + DC)
28,S,04,17,2,13,0000,5,N,00,A,00,1468.0,984.0,966.0,590.0,539.0,279.0,346.0,255.0,219.0,1,1,1,1,1,1,1,1,1,All NAICS Sectors,National (50 States + DC)
